@RELATION stress
@ATTRIBUTE VERTICAL_AVERAGE_PRESSURE NUMERIC
@ATTRIBUTE VERTICAL_AVERAGE_SIZE NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_DELTA NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_TIME_LENGTH NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_INTERACTION_LENGTH NUMERIC
@ATTRIBUTE VERTICAL_SPEED_SCROLL_DELTA NUMERIC
@ATTRIBUTE VERTICAL_SPEED_SCROLL_INTERACTION NUMERIC
@ATTRIBUTE VERTICAL_MEAN_DISTANCE_CENTER NUMERIC
@ATTRIBUTE VERTICAL_MEAN_DISTANCE_TOP_LEFT NUMERIC
@ATTRIBUTE VERTICAL_LINEARITY NUMERIC
@ATTRIBUTE VERTICAL_LINEARITY_SUM_EVERY_POINT NUMERIC
@ATTRIBUTE class {no-stress, stress}
@data
0.6617187634110451,0.38333336263895035,612.0,504.0,617.8316008863547,1.2142857142857142,1.2258563509649896,381.12083442977604,1361.9868775849084,71.0,129.0,no-stress
0.5721154029552753,0.2666666805744171,527.0,173.0,250.78142858215014,3.046242774566474,1.4496036334228333,448.04819826430935,1441.8807004919568,80.0,80.0,no-stress
0.6133333365122478,0.31111112236976624,772.0,238.0,395.5696977362772,3.2436974789915967,1.6620575535137696,416.85881498164844,1394.0895516726182,63.0,81.0,no-stress
0.6750000150580155,0.3789473960274144,535.0,280.0,459.5593574066175,1.9107142857142858,1.6412834193093482,280.5719079386348,1280.2469735902307,45.0,57.0,no-stress
0.6144230870100168,0.3333333432674408,434.0,189.0,329.0235776094648,2.2962962962962963,1.740865489997168,346.60261621135066,1348.2985987695329,121.0,121.0,no-stress
0.6350000262260437,0.3333333432674408,643.0,140.0,219.69137007108702,4.5928571428571425,1.569224071936336,354.1779290758933,1385.484754806129,79.0,81.0,no-stress
0.6327381219182696,0.3333333432674408,189.0,339.0,250.1903839807763,0.5575221238938053,0.7380247315067148,427.7464463223634,1447.3604833312334,35.0,35.0,stress
0.6725961588896238,0.39487182864776027,348.0,413.0,336.0524321662972,0.8426150121065376,0.8136862764317123,367.7352347801763,1387.196387281947,3.0,15.0,stress
0.6491071581840515,0.3619047829083034,400.0,214.0,280.00667513685266,1.8691588785046729,1.3084424071815546,364.3126916196611,1393.555372892744,67.0,67.0,stress
0.6517857313156128,0.37142859612192425,2557.0,74.0,294.01707933023374,34.554054054054056,3.9732037747328883,427.41338859545317,1415.3774607748528,55.0,55.0,stress
0.6625000184232538,0.4060606333342465,1110.0,148.0,486.92499296738487,7.5,3.290033736266114,398.1389245663688,1383.7633075503006,68.0,78.0,stress
0.6000000238418579,0.2888889014720917,1.0,41.0,1.0,0.024390243902439025,0.024390243902439025,436.58486808158995,1473.43623069538,0.0,0.0,stress
0.6317307811516982,0.3333333432674408,207.0,206.0,234.71579949831866,1.0048543689320388,1.1393970849432944,323.9381586987018,1341.4168282454111,34.0,34.0,stress
